measure,mean_1,mean_2,sd_1,sd_2,sample size
I can imagine what other residents in this institution are thinking and feeling,3.36,3.41,0.75,0.72,117
I can imagine what correctionalo officers in this institution are thinking and feeling,3.05,3.15,0.83,0.71,117
